epoch,phase,lr,train_loss,train_acc,synth_monitor_acc,synth_val_acc,real_val_loss,real_val_acc,epoch_time_s,game2_acc_wP,game2_acc_wR,game2_acc_wN,game2_acc_wB,game2_acc_wQ,game2_acc_wK,game2_acc_bP,game2_acc_bR,game2_acc_bN,game2_acc_bB,game2_acc_bQ,game2_acc_bK,game2_acc_empty,game7_diag_per_square,game7_diag_piece_only,game7_diag_empty
1,A,0.0001,0.6818976057481766,0.7942,0.7191584967320261,,0.6779115264872452,0.7782061688311688,627.6695553269237,0.8587786259541985,0.4672131147540984,0.016666666666666666,0.0,0.0,0.38961038961038963,0.7173076923076923,0.25806451612903225,0.017857142857142856,0.44642857142857145,0.0,0.07792207792207792,0.8996539792387543,0.65625,0.4866581956797967,0.7934224049331963
2,A,0.0001,0.4233652418208122,0.86899,0.7246732026143791,,0.5820241779476018,0.8033685064935064,375.63330003013834,0.8759541984732825,0.5409836065573771,0.03333333333333333,0.07407407407407407,0.0,0.4805194805194805,0.7576923076923077,0.4838709677419355,0.0,0.48214285714285715,0.0,0.09090909090909091,0.9131802453601762,0.7198863636363636,0.5444726810673444,0.8617677286742035
3,B,9.931634888554937e-06,0.04864992560111568,0.98708,0.8112234477124183,,0.052868294301794315,0.9872159090909091,1068.144047259353,0.9904580152671756,0.9754098360655737,0.95,0.8518518518518519,0.925,0.961038961038961,0.9942307692307693,0.8629032258064516,0.9464285714285714,0.875,1.0,0.9090909090909091,0.9996854356715948,0.9721590909090909,0.9396442185514613,0.9984583761562179
4,B,9.728616793536588e-06,0.017635944147252305,0.99576,0.7816074346405228,,0.14706339804998406,0.9620535714285714,1069.2865406260826,0.9904580152671756,0.9590163934426229,0.8,0.8703703703703703,0.225,0.974025974025974,0.95,0.5725806451612904,0.875,0.9821428571428571,1.0,0.5844155844155844,0.9981126140295691,0.9227272727272727,0.8310038119440915,0.9969167523124358
5,B,9.397114317029975e-06,0.01152342890496977,0.99695,0.8406352124183006,,0.04587569812372442,0.989448051948052,1067.1597873461433,0.9923664122137404,0.9836065573770492,0.9833333333333333,0.9074074074074074,0.725,0.974025974025974,0.9884615384615385,0.9919354838709677,0.8928571428571429,1.0,0.8717948717948718,0.974025974025974,0.9977980497011639,0.9633522727272728,0.9364675984752223,0.9850976361767728
6,B,8.9471999940354e-06,0.011496632881223923,0.99695,0.7947303921568627,,0.054261030434810724,0.9884334415584416,1067.6947896750644,0.9923664122137404,0.9836065573770492,0.9333333333333333,0.7222222222222222,0.8,0.974025974025974,0.9942307692307693,0.9274193548387096,0.9285714285714286,1.0,0.9743589743589743,0.987012987012987,0.9987417426863794,0.9747159090909091,0.9453621346886912,0.9984583761562179
7,B,8.392544243589425e-06,0.009261240943964659,0.99762,0.783343545751634,,0.03990477348752274,0.9900568181818182,1067.8971778550185,0.9732824427480916,0.9918032786885246,0.9833333333333333,0.8888888888888888,0.95,0.974025974025974,0.9884615384615385,0.9838709677419355,0.9821428571428571,0.9642857142857143,0.7692307692307693,0.987012987012987,0.9993708713431897,0.9849431818181819,0.9682337992376112,0.9984583761562179
8,B,7.749999999999999e-06,0.005698344839920901,0.99875,0.8226613562091504,,0.07270272851454067,0.979301948051948,1068.4507380113937,0.9942748091603053,0.9918032786885246,0.95,0.7222222222222222,0.35,0.9090909090909091,0.9403846153846154,0.9516129032258065,0.9642857142857143,1.0,0.9230769230769231,0.974025974025974,0.9990563070147845,0.9661931818181818,0.928843710292249,0.9964028776978417
9,B,7.039090644965509e-06,0.004988814113622357,0.99864,0.8148488562091504,,0.04633715655993662,0.9931006493506493,1068.1904655606486,0.9904580152671756,0.9918032786885246,0.9833333333333333,0.7962962962962963,0.975,0.974025974025974,0.9903846153846154,1.0,0.9642857142857143,1.0,0.9743589743589743,0.961038961038961,0.9993708713431897,0.98125,0.9612452350698857,0.9974306269270298
10,B,6.281416799501186e-06,0.005257277677812927,0.99856,0.818984885620915,,0.05636532888038582,0.9898538961038961,1068.4117370140739,0.9923664122137404,0.9836065573770492,0.95,0.9629629629629629,0.675,0.974025974025974,0.9884615384615385,0.9758064516129032,0.8928571428571429,1.0,0.9487179487179487,0.961038961038961,0.9987417426863794,0.9701704545454546,0.9371029224904701,0.9969167523124358
11,B,5.499999999999998e-06,0.004107871069078537,0.99893,0.8022365196078431,,0.04347742912488991,0.9910714285714286,1067.7125266380608,0.9923664122137404,0.9918032786885246,0.9333333333333333,0.8333333333333334,0.95,0.974025974025974,0.9884615384615385,0.9596774193548387,0.9821428571428571,1.0,0.8461538461538461,0.974025974025974,0.9993708713431897,0.9803977272727272,0.9587039390088945,0.9979445015416238
12,B,4.718583200498812e-06,0.0032912356757315137,0.99918,0.838031045751634,,0.041978976438376656,0.9924918831168831,1068.568893876858,0.9923664122137404,0.9918032786885246,0.9833333333333333,0.9259259259259259,0.95,0.974025974025974,0.9961538461538462,0.967741935483871,0.9821428571428571,1.0,0.6666666666666666,0.987012987012987,0.9993708713431897,0.9803977272727272,0.9580686149936467,0.9984583761562179
13,B,3.960909355034491e-06,0.0016938610013963625,0.99952,0.8297079248366013,,0.040915568994082545,0.992288961038961,1068.6609769938514,0.9923664122137404,0.9918032786885246,0.9833333333333333,0.9259259259259259,0.975,0.961038961038961,0.9961538461538462,0.9758064516129032,0.9821428571428571,1.0,0.6153846153846154,0.987012987012987,0.9993708713431897,0.9863636363636363,0.9720457433290979,0.9979445015416238
14,B,3.2500000000000002e-06,0.0018415147317241735,0.99948,0.8140829248366013,,0.038867764404231266,0.9945211038961039,1067.7206413228996,0.9923664122137404,0.9918032786885246,0.9833333333333333,0.9074074074074074,0.95,0.974025974025974,0.9961538461538462,1.0,0.9821428571428571,1.0,0.8461538461538461,0.987012987012987,0.9993708713431897,0.9803977272727272,0.9587039390088945,0.9979445015416238
