epoch,phase,lr,train_loss,train_acc,synth_monitor_acc,synth_val_acc,real_val_loss,real_val_acc,epoch_time_s,game6_acc_wP,game6_acc_wR,game6_acc_wN,game6_acc_wB,game6_acc_wQ,game6_acc_wK,game6_acc_bP,game6_acc_bR,game6_acc_bN,game6_acc_bB,game6_acc_bQ,game6_acc_bK,game6_acc_empty
1,A,0.0001,0.7527303387737274,0.7835,0.7874285130718954,,0.9795554332111193,0.6866508152173914,658.4915228988975,0.7337559429477021,0.8636363636363636,0.25688073394495414,0.0,0.0,0.0,0.2504012841091493,0.42045454545454547,0.40869565217391307,0.14285714285714285,0.0,0.010869565217391304,0.8872346291701131
2,A,0.0001,0.5043010419654846,0.84525,0.8117851307189542,,0.8901922262233236,0.6987092391304348,395.64539526682347,0.7353407290015848,0.8409090909090909,0.3853211009174312,0.0,0.0,0.0,0.1187800963081862,0.32954545454545453,0.4608695652173913,0.13445378151260504,0.0,0.010869565217391304,0.926661152467604
3,B,9.931634888554937e-06,0.08837529115211219,0.97412,0.9765625,,0.3485678367964599,0.9054008152173914,419.0167651711963,0.9968304278922345,0.9886363636363636,0.5229357798165137,0.025,0.6086956521739131,0.41304347826086957,0.9791332263242376,0.9772727272727273,0.9739130434782609,0.09243697478991597,0.021739130434782608,0.16304347826086957,0.9994485800937414
4,B,9.728616793536588e-06,0.038164067058125514,0.98836,0.9864174836601307,,0.29759684836734895,0.9021739130434783,418.7961396961473,0.9968304278922345,0.9886363636363636,0.6238532110091743,0.6833333333333333,0.4673913043478261,0.2717391304347826,0.5601926163723917,0.3977272727272727,0.9043478260869565,0.9411764705882353,0.75,0.9456521739130435,0.9986214502343534
5,B,9.397114317029975e-06,0.02938249631342478,0.99129,0.9898386437908496,,0.21808020341331544,0.9341032608695652,418.8347845370881,0.9968304278922345,0.9886363636363636,0.8532110091743119,0.20833333333333334,0.44565217391304346,0.13043478260869565,0.9951845906902087,1.0,0.9304347826086956,0.8067226890756303,0.21739130434782608,0.6630434782608695,0.9983457402812241
6,B,8.9471999940354e-06,0.022805368007291108,0.99317,0.9927491830065359,,0.22735897646002148,0.9332540760869565,418.4651681394316,0.9968304278922345,0.9772727272727273,0.8807339449541285,0.2833333333333333,0.31521739130434784,0.021739130434782608,0.9983948635634029,0.9886363636363636,0.9304347826086956,0.6050420168067226,0.6521739130434783,0.6086956521739131,0.9966914805624483
7,B,8.392544243589425e-06,0.019026547873306553,0.99438,0.9974979575163399,,0.3172695973645086,0.9249320652173914,416.7892174613662,0.9968304278922345,1.0,0.8256880733944955,0.15,0.44565217391304346,0.21739130434782608,0.942215088282504,0.9886363636363636,0.9478260869565217,0.35294117647058826,0.41304347826086957,0.8695652173913043,0.9972429004687069
8,B,7.749999999999999e-06,0.016149015072458424,0.99519,0.9957618464052288,,0.24998309625231702,0.9301970108695652,418.30637614103034,0.9968304278922345,0.9772727272727273,0.944954128440367,0.6,0.5760869565217391,0.021739130434782608,0.9967897271268058,0.9886363636363636,0.9478260869565217,0.226890756302521,0.358695652173913,0.4782608695652174,0.995588640749931
9,B,7.039090644965509e-06,0.01333012662945548,0.99598,0.9972937091503268,,0.2132281957437163,0.9391983695652174,417.9240227821283,0.9968304278922345,0.9886363636363636,0.5137614678899083,0.19166666666666668,0.967391304347826,0.15217391304347827,0.9919743178170144,0.9886363636363636,0.9043478260869565,0.4117647058823529,0.7934782608695652,0.8586956521739131,0.9986214502343534
10,B,6.281416799501186e-06,0.011096748214004328,0.99669,0.9981617647058824,,0.22288523241877556,0.938858695652174,418.99864829611033,0.9968304278922345,1.0,0.6972477064220184,0.5416666666666666,0.33695652173913043,0.16304347826086957,0.985553772070626,0.9886363636363636,0.9565217391304348,0.5882352941176471,0.4891304347826087,0.8260869565217391,0.9986214502343534
11,B,5.499999999999998e-06,0.009569594737524167,0.99714,0.9987234477124183,,0.20815498628856047,0.9405570652173914,418.0982358022593,0.9952456418383518,0.9886363636363636,0.7522935779816514,0.5916666666666667,0.41304347826086957,0.31521739130434784,0.9967897271268058,0.9886363636363636,0.9217391304347826,0.5294117647058824,0.358695652173913,0.7934782608695652,0.9980700303280948
12,B,4.718583200498812e-06,0.00784931075293047,0.99791,0.9990808823529411,,0.3359236860566813,0.9211956521739131,419.0916460477747,0.9952456418383518,1.0,0.6238532110091743,0.18333333333333332,0.05434782608695652,0.18478260869565216,0.9951845906902087,0.9886363636363636,0.9391304347826087,0.33613445378151263,0.4891304347826087,0.8695652173913043,0.9969671905155776
13,B,3.960909355034491e-06,0.006708360678507015,0.99803,0.998876633986928,,0.2855672695390556,0.938858695652174,418.58172222273424,0.9952456418383518,1.0,0.7706422018348624,0.075,0.44565217391304346,0.8586956521739131,0.9967897271268058,0.9886363636363636,0.9304347826086956,0.33613445378151263,0.43478260869565216,0.8913043478260869,0.9986214502343534
14,B,3.2500000000000002e-06,0.00470566816870938,0.99857,0.9988255718954249,,0.24678959891847943,0.9317255434782609,418.62840456608683,0.9952456418383518,0.9886363636363636,0.7522935779816514,0.48333333333333334,0.43478260869565216,0.2717391304347826,0.9951845906902087,0.9886363636363636,0.9391304347826087,0.2857142857142857,0.43478260869565216,0.6739130434782609,0.9966914805624483
