epoch,phase,lr,train_loss,train_acc,synth_monitor_acc,synth_val_acc,real_val_loss,real_val_acc,epoch_time_s,game6_acc_wP,game6_acc_wR,game6_acc_wN,game6_acc_wB,game6_acc_wQ,game6_acc_wK,game6_acc_bP,game6_acc_bR,game6_acc_bN,game6_acc_bB,game6_acc_bQ,game6_acc_bK,game6_acc_empty
1,A,0.0001,0.8050610822997988,0.850625,0.9985191993464052,,0.6535007885616758,0.8551290760869565,367.1872238833457,0.8763866877971473,0.8863636363636364,0.027522935779816515,0.03333333333333333,0.5869565217391305,0.31521739130434784,0.9181380417335474,0.45454545454545453,0.45217391304347826,0.3277310924369748,0.11956521739130435,0.021739130434782608,0.9920044113592501
2,A,0.0001,0.4035235074721277,0.9026171875,0.995046977124183,,0.5261790145026601,0.8682065217391305,150.27195405727252,0.9112519809825673,0.9431818181818182,0.045871559633027525,0.025,0.6413043478260869,0.34782608695652173,0.9518459069020867,0.5454545454545454,0.5391304347826087,0.1092436974789916,0.08695652173913043,0.2391304347826087,0.9950372208436724
3,B,9.931634888554937e-06,0.08369130573308212,0.978828125,0.9847834967320261,,0.24955592385452727,0.9177989130434783,171.07410285901278,0.9952456418383518,0.9886363636363636,0.6146788990825688,0.2833333333333333,0.42391304347826086,0.5,0.9903691813804173,0.9772727272727273,0.6434782608695652,0.2605042016806723,0.13043478260869565,0.6413043478260869,0.9991728701406121
4,B,9.728616793536588e-06,0.03386750870820834,0.99171875,0.9722222222222222,,0.29385674923010496,0.9132133152173914,170.2529108664021,0.9968304278922345,0.9772727272727273,0.6605504587155964,0.11666666666666667,0.3804347826086957,0.3804347826086957,0.9967897271268058,0.9318181818181818,0.6956521739130435,0.18487394957983194,0.18478260869565216,0.6521739130434783,0.9991728701406121
5,B,9.397114317029975e-06,0.024374806220457686,0.9944140625,0.9797283496732027,,0.23252273950239885,0.9256114130434783,171.58303512306884,0.9952456418383518,1.0,0.8073394495412844,0.21666666666666667,0.31521739130434784,0.5978260869565217,0.9935794542536116,0.8409090909090909,0.9391304347826087,0.29411764705882354,0.10869565217391304,0.7282608695652174,0.9988971601874828
6,B,8.9471999940354e-06,0.01679367962142351,0.996484375,0.9710477941176471,,0.27071607930828695,0.9351222826086957,171.1197005631402,0.9952456418383518,0.9886363636363636,0.8073394495412844,0.15833333333333333,0.75,0.7282608695652174,0.9983948635634029,1.0,0.9304347826086956,0.16806722689075632,0.2826086956521739,0.7717391304347826,0.996415770609319
7,B,8.392544243589425e-06,0.018934997234368894,0.9953125,0.9616013071895425,,0.26679550508118194,0.9266304347826086,170.59963697288185,0.9968304278922345,0.9886363636363636,0.9174311926605505,0.25,0.2608695652173913,0.8913043478260869,0.9983948635634029,0.9886363636363636,0.8173913043478261,0.15966386554621848,0.25,0.44565217391304346,0.9975186104218362
8,B,7.749999999999999e-06,0.011745782688230975,0.9975390625,0.9544015522875817,,0.27580952903498773,0.9305366847826086,170.6514646061696,0.9968304278922345,0.9886363636363636,0.8899082568807339,0.225,0.44565217391304346,0.717391304347826,0.9983948635634029,0.9886363636363636,0.9217391304347826,0.17647058823529413,0.10869565217391304,0.6739130434782609,0.9991728701406121
9,B,7.039090644965509e-06,0.010222763054243841,0.997890625,0.9633884803921569,,0.3443755479934423,0.9225543478260869,170.69155198382214,0.9968304278922345,0.9886363636363636,0.8623853211009175,0.21666666666666667,0.6304347826086957,0.44565217391304346,1.0,0.9886363636363636,0.7913043478260869,0.15126050420168066,0.2608695652173913,0.33695652173913043,0.9988971601874828
10,B,6.281416799501186e-06,0.008445989036854371,0.9978125,0.9524101307189542,,0.35623124711539433,0.9155910326086957,171.4164279671386,0.9968304278922345,0.9659090909090909,0.7155963302752294,0.058333333333333334,0.5217391304347826,0.6739130434782609,1.0,0.9772727272727273,0.7478260869565218,0.16806722689075632,0.21739130434782608,0.22826086956521738,0.9997242900468707
11,B,5.499999999999998e-06,0.006731545737984561,0.9982421875,0.9686478758169934,,0.3007733757081239,0.9286684782608695,170.74774583987892,0.9968304278922345,0.9886363636363636,0.7522935779816514,0.225,0.6086956521739131,0.75,0.9887640449438202,0.9318181818181818,0.9130434782608695,0.19327731092436976,0.10869565217391304,0.6630434782608695,0.9983457402812241
12,B,4.718583200498812e-06,0.005163282560788502,0.9990234375,0.9670138888888888,,0.2729834467982468,0.9325747282608695,170.30169417522848,0.9968304278922345,1.0,0.8715596330275229,0.325,0.5652173913043478,0.7282608695652174,0.9951845906902087,0.9886363636363636,0.9652173913043478,0.3445378151260504,0.13043478260869565,0.31521739130434784,0.9983457402812241
